precinct_name,dem_total,rep_total,wi_total,precinct_total,dem_pct,rep_pct,wi_pct
Aspinwall Dist 1,106,14,0,120,88.3,11.7,0.0
Aspinwall Dist 2,271,107,0,378,71.7,28.3,0.0
Aspinwall Dist 3,107,24,1,132,81.1,18.2,0.8
Blawnox,143,24,2,169,84.6,14.2,1.2
Brackenridge Ward 1,37,7,0,44,84.1,15.9,0.0
Brackenridge Ward 2,81,18,0,99,81.8,18.2,0.0
Brackenridge Ward 3,164,189,0,353,46.5,53.5,0.0
Cheswick Dist 1,68,24,0,92,73.9,26.1,0.0
Cheswick Dist 2,80,23,0,103,77.7,22.3,0.0
East Deer Ward 1,99,78,0,177,55.9,44.1,0.0
East Deer Ward 2,57,22,0,79,72.2,27.8,0.0
Etna Ward 1,89,13,1,103,86.4,12.6,1.0
Etna Ward 2,222,133,2,357,62.2,37.3,0.6
Etna Ward 3,76,16,0,92,82.6,17.4,0.0
Fawn Dist 1,41,20,0,61,67.2,32.8,0.0
Fawn Dist 2,221,383,2,606,36.5,63.2,0.3
Fox Chapel Dist 1,135,40,1,176,76.7,22.7,0.6
Fox Chapel Dist 2,143,49,0,192,74.5,25.5,0.0
Fox Chapel Dist 3,140,36,0,176,79.5,20.5,0.0
Fox Chapel Dist 4,226,49,2,277,81.6,17.7,0.7
Fox Chapel Dist 5,135,64,2,201,67.2,31.8,1.0
Frazer,189,324,0,513,36.8,63.2,0.0
Hampton Dist 1,411,451,0,862,47.7,52.3,0.0
Hampton Dist 2,170,53,0,223,76.2,23.8,0.0
Hampton Dist 3,190,86,0,276,68.8,31.2,0.0
Hampton Dist 4,72,24,0,96,75.0,25.0,0.0
Hampton Dist 5,96,22,0,118,81.4,18.6,0.0
Hampton Dist 6,82,41,0,123,66.7,33.3,0.0
Hampton Dist 7,187,94,0,281,66.5,33.5,0.0
Hampton Dist 8,126,36,0,162,77.8,22.2,0.0
Hampton Dist 9,174,66,0,240,72.5,27.5,0.0
Hampton Dist 10,235,97,0,332,70.8,29.2,0.0
Hampton Dist 11,217,83,0,300,72.3,27.7,0.0
Hampton Dist 12,321,324,0,645,49.8,50.2,0.0
Hampton Dist 13,111,42,0,153,72.5,27.5,0.0
Harmar Dist 1,218,89,1,308,70.8,28.9,0.3
Harmar Dist 2,172,197,1,370,46.5,53.2,0.3
Harmar Dist 3,106,134,0,240,44.2,55.8,0.0
Harrison Ward 1 Dist 1,25,9,0,34,73.5,26.5,0.0
Harrison Ward 1 Dist 2,93,29,0,122,76.2,23.8,0.0
Harrison Ward 1 Dist 3,59,23,0,82,72.0,28.0,0.0
